file,parameter,value,expected_value,status,used_by_current_pipeline,action_needed
configs/config_v31zk_M1_1_M2_0p5_L6_000A1m_scatter010.in,scatter1_10,<missing>,-43.2,FAIL,no,leave archival/test config unchanged
configs/config_v31zk_M1_1_M2_0p5_L6_000A1m_scatter010.in,scatter2_00,0.1,4.12,FAIL,no,leave archival/test config unchanged
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,xi,1.0,3.444,FAIL,no,leave archival/test config unchanged
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,atmK,1.0,0.09698,FAIL,no,leave archival/test config unchanged
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,atmpi,0.5,0.06906,FAIL,no,leave archival/test config unchanged
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,eta_1,1.0,1.0,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,eta_2,0.5,0.5,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,alpha,0.5,0.5,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,epsilon_h,0.0,0.0,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,max_shell_num,20.0,20,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,tolerance,1.0e-12,1e-12,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,parity,-1,-1,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,eig_tol,0.05,0.05,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,norm_tol,1.0e-12,1e-12,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,proj_tol,1.0e-10,1e-10,PASS,no,none
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,waves_vec_1,0,0 1,FAIL,no,leave archival/test config unchanged
configs/config_v31zm_M1_1_M2_0p5_L6_000A1m_scatter001.in,waves_vec_2,0,0,PASS,no,none
