base_point,parameter,base_value,step,minus_value,plus_value,chi2_minus,chi2_base,chi2_plus,delta_chi2_minus,delta_chi2_plus,found_minus,found_base,found_plus,rows_minus,rows_base,rows_plus,expansions_minus,expansions_base,expansions_plus,full_scan_minus,full_scan_base,full_scan_plus,fallback_minus,fallback_base,fallback_plus,model0_minus,model1_minus,model2_minus,model3_minus,model0_base,model1_base,model2_base,model3_base,model0_plus,model1_plus,model2_plus,model3_plus,dE0_dparam,dE1_dparam,dE2_dparam,dE3_dparam,max_abs_dE_dparam
starting,K3iso0,73735.840894011912,1000,72735.840894011912,74735.840894011912,1.5146614190181035e-05,1.5125961842376174e-05,1.5105260405290964e-05,2.065234780486056e-08,-2.0701437085210341e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932433836277642,0.26661693483888776,0.32172453647270172,0.33062988060771087,0.26932269955846955,0.26661645763966257,0.32172372122692394,0.33062741555832614,0.26932106299522268,0.2666159811227784,0.32172289337663534,0.33062495280828791,-1.6376837768672381e-09,-4.7685805468211663e-10,-8.2154803318634783e-10,-2.4638997114800886e-09,2.4638997114800886e-09
starting,K3iso1,-972421.14060757787,10000,-982421.14060757787,-962421.14060757787,1.5284968448981461e-05,1.5125961842376174e-05,1.4973792009619562e-05,1.5900660660528732e-07,-1.5216983275661201e-07,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932349418694401,0.2666165889704169,0.32172767137865982,0.33064180020617012,0.26932269955846955,0.26661645763966257,0.32172372122692394,0.33062741555832614,0.26932190567988246,0.26661632637025579,0.32171978735101386,0.33061321078257844,-7.9425353077811061e-11,-1.3130008055806109e-11,-3.9420138229773195e-10,-1.4294711795842519e-09,1.4294711795842519e-09
starting,K3B,347174.05548116949,1000,346174.05548116949,348174.05548116949,1.5141991608990335e-05,1.5125961842376174e-05,1.5109782538317566e-05,1.6029766614160843e-08,-1.6179304058608162e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932277946204342,0.26661647642032937,0.3217243572429585,0.33062802261491014,0.26932269955846955,0.26661645763966257,0.32172372122692394,0.33062741555832614,0.26932261979665018,0.26661643890394132,0.32172307715969412,0.33062680976446363,-7.9832696620041329e-11,-1.8758194025858544e-11,-6.4004163219388845e-10,-6.0642522325959904e-10,6.4004163219388845e-10
starting,K3E,-1226756.7068845264,10000,-1236756.7068845264,-1216756.7068845264,1.5105137325914844e-05,1.5125961842376174e-05,1.514782433982497e-05,-2.0824516461330004e-08,2.1862497448795712e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932260214980064,0.26661645612451368,0.32172375875656811,0.33062329886689795,0.26932269955846955,0.26661645763966257,0.32172372122692394,0.33062741555832614,0.26932279810122195,0.26661645950860835,0.32172368495604675,0.33063155267500338,9.7975710655617824e-12,1.6920473355774847e-13,-3.6900260680372552e-12,4.1269040527147638e-10,4.1269040527147638e-10
best_logged,K3iso0,73792.409853164252,1000,72792.409853164252,74792.409853164252,1.4750629465134963e-05,1.4730406752058674e-05,1.4711504211027121e-05,2.0222713076289663e-08,-1.8902541031552556e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932226135049131,0.26661644694542286,0.32170872252152272,0.3306145704959505,0.26932062053752048,0.26661596771633289,0.32170791466775273,0.33061213569633102,0.26931898169417368,0.2666154891759025,0.32170716073866767,0.3306097074132876,-1.639828158817025e-09,-4.7888476017998728e-10,-7.8089142752091338e-10,-2.4315413314490719e-09,2.4315413314490719e-09
best_logged,K3iso1,-972421.14060757787,10000,-982421.14060757787,-962421.14060757787,1.4887791461946564e-05,1.4730406752058674e-05,1.4581282888035162e-05,1.573847098878903e-07,-1.4912386402351124e-07,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932141600330889,0.26661609958737775,0.32171186067857266,0.33062632717440654,0.26932062053752048,0.26661596771633289,0.32170791466775273,0.33061213569633102,0.26931982577627489,0.26661583590719512,0.32170406377532951,0.33059812062642469,-7.9511351699923518e-11,-1.3184009131639307e-11,-3.8984516215756492e-10,-1.410327399092859e-09,1.410327399092859e-09
best_logged,K3B,372627.26564026944,1000,371627.26564026944,373627.26564026944,1.4745922666084135e-05,1.4730406752058674e-05,1.4715721463220843e-05,1.5515914025461834e-08,-1.4685288837830822e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.2693206968600157,0.26661598535028891,0.32170854293535467,0.33061272153667426,0.26932062053752048,0.26661596771633289,0.32170791466775273,0.33061213569633102,0.26932054435730496,0.26661595012792255,0.32170732692650195,0.33061155106163415,-7.6251355368706086e-11,-1.7611183178445343e-11,-6.0800442636121941e-10,-5.8523752005656959e-10,6.0800442636121941e-10
best_logged,K3E,-1226756.7068845264,10000,-1236756.7068845264,-1216756.7068845264,1.470920307042291e-05,1.4730406752058674e-05,1.4752640898339985e-05,-2.1203681635763465e-08,2.2234146281311883e-08,4,4,4,404,404,404,0,0,0,0,0,0,0,0,0,0.26932051340440877,0.26661596301904955,0.32170795157567705,0.33060803471273487,0.26932062053752048,0.26661596771633289,0.32170791466775273,0.33061213569633102,0.26932072881939534,0.2666159727745725,0.32170787890489044,0.33061625707491099,1.0770749328536944e-11,4.8777614725103999e-13,-3.6335393305275689e-12,4.1111810880622988e-10,4.1111810880622988e-10
