method,TP,FP,FN,TN,runtime_seconds,score,acceptable,status
digonto_v3_window,5,0,0,25,0.000390080007,5.0,YES,PASS
digonto_v4_window,5,0,0,25,0.000335609991,5.0,YES,PASS
