row_index,Ecm,Nproj,det_grid_real,det_grid_imag,local_det_real,local_det_imag,gpu_det_real,gpu_det_imag,abs_cpu_assembled_diff,abs_gpu_assembled_diff,sign_grid,sign_local,sign_gpu
2579,2.75595879793989695e-01,14,1.68636181872724317e-32,0.00000000000000000e+00,1.68636181872724317e-32,0.00000000000000000e+00,1.68636181872724591e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.73691106313440834e-47,1,1,1
2580,2.75600725036251826e-01,14,1.66222775743474859e-32,0.00000000000000000e+00,1.66222775743474859e-32,0.00000000000000000e+00,1.66222775743475598e-32,0.00000000000000000e+00,0.00000000000000000e+00,7.38965987046290252e-47,1,1,1
2581,2.75605570278513901e-01,14,1.63849379271273934e-32,0.00000000000000000e+00,1.63849379271273934e-32,0.00000000000000000e+00,1.63849379271273606e-32,0.00000000000000000e+00,0.00000000000000000e+00,3.28429327576129001e-47,1,1,1
2582,2.75610415520776031e-01,14,1.61515236353425211e-32,0.00000000000000000e+00,1.61515236353425211e-32,0.00000000000000000e+00,1.61515236353425321e-32,0.00000000000000000e+00,0.00000000000000000e+00,1.09476442525376334e-47,1,1,1
2583,2.75615260763038161e-01,14,1.59219607010545393e-32,0.00000000000000000e+00,1.59219607010545393e-32,0.00000000000000000e+00,1.59219607010547500e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.10742151861349442e-46,1,1,1
2584,2.75620106005300292e-01,14,1.56961767001229854e-32,0.00000000000000000e+00,1.56961767001229854e-32,0.00000000000000000e+00,1.56961767001232017e-32,0.00000000000000000e+00,0.00000000000000000e+00,2.16215973987618259e-46,1,1,1
2585,2.75624951247562366e-01,15,2.66014348871583239e-29,-0.00000000000000000e+00,2.66014348871583239e-29,-0.00000000000000000e+00,2.66014348871581333e-29,-0.00000000000000000e+00,0.00000000000000000e+00,1.90576591148175122e-43,1,1,1
2586,2.75629796489824497e-01,15,2.56861424242996933e-29,-0.00000000000000000e+00,2.56861424242996933e-29,-0.00000000000000000e+00,2.56861424242996484e-29,-0.00000000000000000e+00,0.00000000000000000e+00,4.48415508583941463e-44,1,1,1
2587,2.75634641732086627e-01,15,2.48043363795270468e-29,-0.00000000000000000e+00,2.48043363795270468e-29,-0.00000000000000000e+00,2.48043363795270973e-29,-0.00000000000000000e+00,0.00000000000000000e+00,5.04467447156934146e-44,1,1,1
2588,2.75639486974348702e-01,15,2.39547200801557020e-29,-0.00000000000000000e+00,2.39547200801557020e-29,-0.00000000000000000e+00,2.39547200801556151e-29,-0.00000000000000000e+00,0.00000000000000000e+00,8.68805047881386584e-44,1,1,1
2589,2.75644332216610832e-01,15,2.31360497969732398e-29,-0.00000000000000000e+00,2.31360497969732398e-29,-0.00000000000000000e+00,2.31360497969735396e-29,-0.00000000000000000e+00,0.00000000000000000e+00,2.99877871365510853e-43,1,1,1
2590,2.75649177458872963e-01,15,2.23471324721280551e-29,-0.00000000000000000e+00,2.23471324721280551e-29,-0.00000000000000000e+00,2.23471324721281504e-29,-0.00000000000000000e+00,0.00000000000000000e+00,9.52882955740875608e-44,1,1,1
2591,2.75654022701135037e-01,15,2.15868235490370123e-29,-0.00000000000000000e+00,2.15868235490370123e-29,-0.00000000000000000e+00,2.15868235490368245e-29,-0.00000000000000000e+00,0.00000000000000000e+00,1.87773994219525488e-43,1,1,1
2592,2.75658867943397168e-01,15,2.08540248998904355e-29,-0.00000000000000000e+00,2.08540248998904355e-29,-0.00000000000000000e+00,2.08540248998903402e-29,-0.00000000000000000e+00,0.00000000000000000e+00,9.52882955740875608e-44,1,1,1
2593,2.75663713185659298e-01,15,2.01476828458972125e-29,-0.00000000000000000e+00,2.01476828458972125e-29,-0.00000000000000000e+00,2.01476828458971705e-29,-0.00000000000000000e+00,0.00000000000000000e+00,4.20389539297445121e-44,1,1,1
2594,2.75668558427921373e-01,15,1.94667862660187016e-29,-0.00000000000000000e+00,1.94667862660187016e-29,-0.00000000000000000e+00,1.94667862660187240e-29,-0.00000000000000000e+00,0.00000000000000000e+00,2.24207754291970731e-44,1,1,1
2595,2.75673403670183503e-01,15,1.88103647901465957e-29,-0.00000000000000000e+00,1.88103647901465957e-29,-0.00000000000000000e+00,1.88103647901465957e-29,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1,1,1
3341,2.79287954397719862e-01,15,3.03746702955899609e-34,-0.00000000000000000e+00,3.03746702955899609e-34,-0.00000000000000000e+00,3.03746702955897770e-34,-0.00000000000000000e+00,0.00000000000000000e+00,1.83886212054343060e-48,1,1,1
3342,2.79292799639981992e-01,15,3.35600230376197248e-34,0.00000000000000000e+00,3.35600230376197248e-34,0.00000000000000000e+00,3.35600230376194512e-34,-0.00000000000000000e+00,0.00000000000000000e+00,2.73691106313440834e-48,1,1,1
3343,2.79297644882244123e-01,15,3.76019320551330733e-34,0.00000000000000000e+00,3.76019320551330733e-34,0.00000000000000000e+00,3.76019320551329793e-34,-0.00000000000000000e+00,0.00000000000000000e+00,9.40813177952452867e-49,1,1,1
3344,2.79302490124506253e-01,15,4.28962654319431413e-34,0.00000000000000000e+00,4.28962654319431413e-34,0.00000000000000000e+00,4.28962654319431413e-34,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1,1,1
3345,2.79307335366768328e-01,15,5.01273418464194500e-34,0.00000000000000000e+00,5.01273418464194500e-34,0.00000000000000000e+00,5.01273418464190994e-34,-0.00000000000000000e+00,0.00000000000000000e+00,3.50666729964096069e-48,1,1,1
3346,2.79312180609030458e-01,15,6.05891726828402731e-34,0.00000000000000000e+00,6.05891726828402731e-34,0.00000000000000000e+00,6.05891726828397685e-34,-0.00000000000000000e+00,0.00000000000000000e+00,5.04617977265406538e-48,1,1,1
3347,2.79317025851292589e-01,15,7.70590440625528273e-34,0.00000000000000000e+00,7.70590440625528273e-34,0.00000000000000000e+00,7.70590440625525707e-34,-0.00000000000000000e+00,0.00000000000000000e+00,2.56585412168850782e-48,1,1,1
3348,2.79321871093554663e-01,15,1.06776442891336247e-33,0.00000000000000000e+00,1.06776442891336247e-33,0.00000000000000000e+00,1.06776442891335768e-33,-0.00000000000000000e+00,0.00000000000000000e+00,4.78959436048521460e-48,1,1,1
