Lbyas,irrep,lattice_level_index,lattice_Ecm,bracket_id,E_left_bracket,E_right_bracket,zero_estimate_initial,center_row,row_left,row_right,max_row_left,max_row_right,previous_model_zero,has_previous_model_zero,inside_Ecm_cutoff
20,110_A2,0,0.30733329283126382,11,3.06789549477473888e-01,3.06794394719735963e-01,0.30679110096539869,9017,8967,9067,8767,9267,0.30679110096539869,true,true
20,110_A2,1,0.31643789359657837,15,3.15825926296314785e-01,3.15830771538576915e-01,0.31583037429108624,10883,10833,10933,10633,11133,0.31583037429108624,true,true
20,110_A2,2,0.31813597720593867,17,3.19154607730386508e-01,3.19159452972648638e-01,0.31915497052908925,11569,11519,11619,11319,11819,0.31915497052908925,true,true
20,110_A2,3,0.3291548445548671,18,3.28714270713535650e-01,3.28719115955797780e-01,0.3287180485505124,13543,13493,13593,13293,13793,0.3287180485505124,true,true
