method,TP,FP,FN,TN,runtime_seconds,score,acceptable,status
digonto_v3_window,9,1,0,42,0.00064278701,8.0,NO,PASS
digonto_v4_window,9,1,0,42,0.000572069999,8.0,NO,PASS
