bracket_id,E_left,E_right,user_label,user_zero_estimate,comment
1,2.88629581479073971e-01,2.88634426721336046e-01,,,
2,2.94841182059102924e-01,2.94846027301365055e-01,,,
3,2.98886959347967385e-01,2.98891804590229515e-01,,,
4,3.02593569678483942e-01,3.02598414920746017e-01,,,
5,3.06523061153057663e-01,3.06527906395319738e-01,,,
6,3.09328456422821141e-01,3.09333301665083271e-01,,,
7,3.14168853442672147e-01,3.14173698684934222e-01,,,
8,3.15196044802240116e-01,3.15200890044502247e-01,,,
9,3.17134141707085371e-01,3.17138986949347446e-01,,,
10,3.18364833241662093e-01,3.18369678483924168e-01,,,
11,3.19421096054802733e-01,3.19425941297064864e-01,,,
12,3.19513155657782877e-01,3.19518000900045007e-01,,,
13,3.21223526176308782e-01,3.21228371418570913e-01,,,
14,3.23113170658532900e-01,3.23118015900795030e-01,,,
15,3.25739291964598221e-01,3.25744137206860351e-01,,,
16,3.26112375618780925e-01,3.26117220861043056e-01,,,
17,3.28597984899244966e-01,3.28602830141507041e-01,,,
18,3.30259902995149734e-01,3.30264748237411865e-01,,,
19,3.32382119105955276e-01,3.32386964348217406e-01,,,
20,3.34329906495324791e-01,3.34334751737586866e-01,,,
21,3.36452122606130333e-01,3.36456967848392408e-01,,,
22,3.38206100305015245e-01,3.38210945547277375e-01,,,
23,3.38356302815140730e-01,3.38361148057402861e-01,,,
24,3.38579183959197949e-01,3.38584029201460079e-01,,,
25,3.42198579928996438e-01,3.42203425171258568e-01,,,
26,3.42576508825441273e-01,3.42581354067703403e-01,,,
27,3.43191854592729606e-01,3.43196699834991736e-01,,,
28,3.43899259962998138e-01,3.43904105205260269e-01,,,
29,3.50125396269813483e-01,3.50130241512075613e-01,,,
30,3.51545052252612622e-01,3.51549897494874752e-01,,,
