Lbyas,irrep,lattice_level_index,lattice_Ecm,bracket_id,E_left_bracket,E_right_bracket,zero_estimate_initial,center_row,row_left,row_right,max_row_left,max_row_right,previous_model_zero,has_previous_model_zero,inside_Ecm_cutoff
24,000_A1m,0,0.2668832169981918,1,2.66612800640032011e-01,2.66617645882294141e-01,0.26661705359335075,726,676,776,476,976,0.26661705359335075,true,true
24,000_A1m,1,0.3208932405063292,9,3.21722586129306487e-01,3.21727431371568562e-01,0.32172352122054665,12100,12050,12150,11850,12350,0.32172352122054665,true,true
24,000_A1m,2,0.32953266907775774,10,3.30628141407070364e-01,3.30632986649332494e-01,0.33063143645332377,13938,13888,13988,13688,14188,0.33063143645332377,true,true
