Lbyas,irrep,lattice_level_index,lattice_Ecm,bracket_id,E_left_bracket,E_right_bracket,zero_estimate_initial,center_row,row_left,row_right,max_row_left,max_row_right,previous_model_zero,has_previous_model_zero,inside_Ecm_cutoff
20,111_A2,0,0.32035801348805054,11,0.319421096054802733,0.319425941297064864,0.31942184564777087,11624,11574,11674,11374,11874,0.31942184564777087,true,true
20,111_A2,1,0.33413173149593406,20,0.334329906495324791,0.334334751737586866,0.33433216652672620,14701,14651,14751,14451,14951,0.33433216652672620,true,true
