Lbyas,irrep,bracket_id,E_left,E_right,E_mid,zero_estimate,accepted_by_methods,user_label,inside_Ecm_cutoff
20,110_A2,11,3.06789549477473888e-01,3.06794394719735963e-01,0.30679197209860493,0.30679110096539869,digonto_v3_window;digonto_v4_window,true,true
20,110_A2,15,3.15825926296314785e-01,3.15830771538576915e-01,0.31582834891744582,0.31583037429108624,digonto_v3_window;digonto_v4_window,true,true
20,110_A2,17,3.19154607730386508e-01,3.19159452972648638e-01,0.31915703035151755,0.31915497052908925,digonto_v3_window;digonto_v4_window,true,true
20,110_A2,18,3.28714270713535650e-01,3.28719115955797780e-01,0.32871669333466669,0.3287180485505124,digonto_v3_window;digonto_v4_window,true,true
